Set Size , MillisecondsCost 
2 , 0.223216
4 , 0.32295
8 , 0.38944
16 , 0.453555
32 , 0.520045
64 , 0.591284
128 , 0.683895
256 , 0.821624
512 , 1.06384
1024 , 1.51145
2048 , 2.5088
4096 , 4.8585
8192 , 10.2347
16384 , 21.8751
32768 , 47.6126
65536 , 99.8795
131072 , 209.793
262144 , 432.211
524288 , 886.881
1048576 , 1862.66
2097152 , 3898.58
4194304 , 8011.14
8388608 , 16658.5
16777216 , 34846.4
