Set Size , MillisecondsCost 
2 , 0.26596
4 , 0.366882
8 , 0.436934
16 , 0.506986
32 , 0.577038
64 , 0.654214
128 , 0.746825
256 , 0.884555
512 , 1.12202
1024 , 1.53164
2048 , 2.45301
4096 , 5.1601
8192 , 11.726
16384 , 26.1519
32768 , 57.2111
65536 , 124.567
131072 , 264.694
262144 , 557.838
524288 , 1183.47
1048576 , 2486.15
2097152 , 5249.11
4194304 , 11222.7
8388608 , 23261.7
16777216 , 48343.7
