Set Size , MillisecondsCost 
2 , 0.218467
4 , 0.306329
8 , 0.369257
16 , 0.432185
32 , 0.495113
64 , 0.565165
128 , 0.657776
256 , 0.790756
512 , 1.04603
1024 , 1.49128
2048 , 2.91962
4096 , 7.12275
8192 , 17.1936
16384 , 38.7388
32768 , 84.7606
65536 , 184.998
131072 , 401.447
262144 , 851.303
524288 , 1801.99
1048576 , 3935.27
