Set Size , MillisecondsCost 
2 , 0.28852
4 , 0.412001
8 , 0.497488
16 , 0.588912
32 , 0.679149
64 , 0.786008
128 , 0.980728
256 , 1.23838
512 , 1.68006
1024 , 2.5943
2048 , 6.54214
4096 , 15.4589
8192 , 29.0751
16384 , 59.0503
32768 , 120.678
65536 , 257.476
131072 , 549.997
262144 , 1185.64
524288 , 2639.01
1048576 , 6415.27
