Set Size , MillisecondsCost 
2 , 0.179286
4 , 0.27071
8 , 0.340762
16 , 0.410814
32 , 0.482053
64 , 0.561604
128 , 0.661339
256 , 0.829939
512 , 1.10777
1024 , 1.69193
2048 , 3.1749
4096 , 7.22486
8192 , 17.8348
16384 , 43.6044
32768 , 120.177
65536 , 329.722
131072 , 887.596
262144 , 2360.37
524288 , 6781.78
1048576 , 19555.1
