Set Size , MillisecondsCost 
2 , 0.19947
4 , 0.294456
8 , 0.366882
16 , 0.438121
32 , 0.510548
64 , 0.592473
128 , 0.70883
256 , 0.860807
512 , 1.12202
1024 , 1.6195
2048 , 2.84363
4096 , 6.39728
8192 , 14.331
16384 , 32.3996
32768 , 68.8028
65536 , 144.453
131072 , 301.889
262144 , 628.014
524288 , 1320.2
1048576 , 2758.16
2097152 , 5773.26
4194304 , 12096.6
8388608 , 25151.1
16777216 , 52025.5
