Set Size , MillisecondsCost 
2 , 0.180473
4 , 0.273084
8 , 0.341948
16 , 0.410813
32 , 0.482052
64 , 0.563977
128 , 0.666087
256 , 0.822813
512 , 1.07452
1024 , 1.56133
2048 , 2.67147
4096 , 6.45309
8192 , 14.2217
16384 , 31.5388
32768 , 68.284
65536 , 144.935
131072 , 303.558
262144 , 632.186
524288 , 1329.24
1048576 , 2769.34
2097152 , 5786.63
4194304 , 11801.6
8388608 , 24293
16777216 , 50321.7
